Base Malts and Extracts,,Hops,,,Yeast,,Adjuncts/Spices/Fruits,,,Specialty Malt and Flaked Grains,,,,,
Choose at least 1,Drafted By:,Choose at least 1,,Drafted By:,Choose at least 1,Drafted By:,Choose at least 1,,Drafted By:,,Drafted By:,,Drafted By:,,"*** If anyone participating in the draft has an allergy to any ingredient, inform the Commissioner immediately. ***"
Amber Malt Extract,,Amarillo,Motueka,,"Abbey Ale (WLP540, EY1762, BE-256)",,"Abstrax terpenes (any variety of Quantum, Omni, or BrewGas)",Lime Peel/Juice,,Aromatic,,Coffee Malt,,,
American (or North American) Pilsner,,Ariana,Nectaron,,"Alt (WLP023, WY1007, G02)",,Abstrax SkyFarm fruit flavors (any),Lyle's Golden Syrup (Invert Sugar),,"Barley, Flaked",,"Corn, Flaked",,,
American (or North American) Vienna,,Azacca,Nelson Sauvin,,"American Ale (WLP001 [liquid or dry], WY1056, US-05, A07)",,Apricots,Mango,,"Barley, Raw",,"Corn, Grits",,,
Belgian Pale,,BRU-1,Perle,,"Belgian Ale (WLP570, WY1388)",,Blackberries,Maple Syrup,,"Barley, Roasted",,"Extract, Extra Dark",,,
Belgian Pilsner,,Calista,Progress,,"Belgian Ardennes (WY3522, B45)",,Blueberries,Milk Sugar (Lactose),,"Barley, Torrefied",,"Extract, Rye",,,
Dark Malt Extract,,Cascade,Rakau,,"Conan (WLP095, OYL-052, A04, LalBrew New England [Dry])",,Brewer's Crystals,Molasses,,Biscuit Malt,,"Extract, Sorghum",,,
English Pale Ale,,Centennial,Riwaka,,"Czech Lager (WLP802, WY2001, L28)",,Brown Sugar,Mushrooms,,Black Malt,,Honey Malt,,,"Most strains are available from White Labs, Wyeast, Omega, and Imperial. Dry versions from Lallemand or Fermentis as indicated."
Extra Light/Pils Malt Extract,,Challenger,Saaz,,"Dry English Ale (WLP007, WY1098, A10)",,"Candi Sugar, Amber",Nectarines,,Blackprinze Malt,,Licorice,,,
Floor Malted Pilsner,,Citra,Sabro,,"East Coast Ale (WLP008, A15)",,"Candi Sugar, Clear",Oak,,Brown Malt,,Melanoiden Malt,,,
German Pale Ale,,Columbus/Tomahawk/Zeus,Saphir,,"English Ale (WLP002, WY1968, S-04, A09)",,"Candi Sugar, Dark","Orange Peel, Bitter",,Buckwheat,,Millet,,,
German Pilsner,,East Kent Goldings,Simcoe,,"Farmhouse (WY3726, OYL-217, Dry)",,Cane (or Beet) Sugar,"Orange Peel, Sweet",,Carafa I,,"Oats, Flaked",,,
German Vienna,,El Dorado,Sorachi Ace,,"German Ale (WY1007, G02)",,Cherries,Passion Fruit,,Carafa II,,"Oats, Golden Naked",,,
Golden Malt Extract,,Ella,Strata,,"German Lager (WLP830, WY2124, L13, 34/70)",,Chili Peppers,Peaches,,Carafa III,,"Oats, Malted",,,** Equivalent strains not listed from alternative yeast manufacturers must be approved by the Commissioner **
Golden Promise,,Fuggle,Strisselspalt,,"Hefewiezen (WLP300, WY3068, G01)",,Cocoa Nibs/Beans,Pineapple,,Carafoam,,Pale Chocolate Malt,,,
Light Malt Extract,,Galaxy,Styrian Goldings,,"Hornindal Kveik (WLP521, OYL-091)",,Coconut,Raspberries,,Carahell,,Peat Smoked Malt,,,
Marris Otter,,Hallertau Mittelfrueh,Tettnang / Tettnanger,,"Kolsch (WLP029, WY2565, G03, K-97)",,Coffee (Liquid or Beans),Rice Syrup,,Caramel/Crystal Malt - 10L,,Quinoa,,,
"Munich, Dark",,Hallertau Tradition,Topaz,,"London III (WLP013, A38, WY1318)",,Corn Sugar (Dextrose),Truffles,,Caramel/Crystal Malt - 20L,,"Rice, Flaked",,,
Munich Malt Extract,,Idaho 7,Triumph,,"Lutra Kveik (OYL-071, OYL-071DRY)",,Coriander,Turbinado Sugar,,Caramel/Crystal Malt - 30L,,Rye Malt,,,
"Munich, Light",,Krush (HBC 586),,,"Mexican Lager (WLP940, OYL-113, L09)",,Dememera Sugar,Vanilla (extract or bean),,Caramel/Crystal Malt - 40L,,"Rye, Flaked",,,
Pale Malt Extract,,Kohatu,,,"Munich Lager (WLP838, WY2308, Dry)",,Dragon Fruit,Watermelon,,Caramel/Crystal Malt - 60L,,Smoked Malt,,,
Pale Malt (2 Row),,Lemondrop,,,NovaLager (Lalbrew Y055) (Dry),,Grains of Paradise,,,Caramel/Crystal Malt - 80L,,Special B,,,
Pale Malt (6 Row),,Liberty,,,Pomona (Lalbrew Y067) (Dry),,Grapefruit Peel,,,Caramel/Crystal Malt -120L,,Special Roast,,,
Red X,,Loral,,,Philly Sour or Sourvisiae (Dry),,Guava,,,Caramunich I,,Spelt Malt,,,
Wheat Malt Extract,,Lotus,,,"Saison (WLP565, WY3724)",,Honey,,,Caramunich II,,Toasted Malt,,,
White Wheat,,Magnum,,,"San Fran Lager (WLP810, L05, WY2112)",,Juniper,,,Carapils/Dextrine/Carafoam,,Victory,,,
,,Mosaic,,,"Scottish Ale (WLP028, WY1728, A31)",,Lemon Peel/Juice,,,Carared,,"Wheat, Flaked",,,
,,,,,"Trappist Ale (WLP500, WY1214, B48)",,Licorice,,,Caravienne,,"Wheat, Red",,,
,,,,,Verdant IPA (Dry),,,,,Chit Malt,,"Wheat, Roasted",,,
,,,,,"Voss Kveik (A43, OYL-061, Dry)",,,,,Chocolate Malt,,"Wheat, Torrified",,,
,,,,,Saflager SH-45 (Thiol Enhancing Dry Lager Yeast),,,,,Cookie Malt (Viking Malt),,,,,
