name,type,form,usage,fermentable,origin,citrus,berry,stone_fruit,tropical,melon,floral,herbal,spice_warm,pepper_heat,vanilla,roast_coffee_choc,coconut_cream,woody,earthy,sour,sweet,dark_fruit,boozy
Cane (or Beet) Sugar,sugar,granulated,fermentable,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Corn Sugar (Dextrose),sugar,granulated,fermentable,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Candi Sugar, Amber",sugar,rocks/syrup,both,1,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
"Candi Sugar, Clear",sugar,rocks/syrup,fermentable,1,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Candi Sugar, Dark",sugar,rocks/syrup,both,1,BE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,2
Brown Sugar,sugar,granulated,both,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
Turbinado Sugar,sugar,granulated,both,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
Demerara Sugar,sugar,granulated,both,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
Molasses,syrup,syrup,both,1,none,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,1
Maple Syrup,syrup,syrup,both,1,none,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,2,0,1
Honey,syrup,liquid,both,1,none,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1
"Rice Syrup (added ""syrup"" to differentiate from flaked rice in specialty malts)",syrup,syrup,fermentable,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Lyle's Golden Syrup (Invert Sugar),syrup,syrup,both,1,UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Brewer's Crystals,sugar,granulated,fermentable,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Milk Sugar (Lactose),dairy_sugar,powder,flavoring,0,none,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
