name,origin,purpose,alpha_mid,alpha_lo,alpha_hi,citrus,tropical,stone_fruit,berry,melon_candy,floral,herbal,spicy,pine_resin,earthy,woody,grassy,dank,coconut_cream,wine_gooseberry,clean_bitter
Amarillo,US,dual,9.0,8,11,3,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0
Ariana,DE,aroma,11.0,9,13,2,1,0,2,0,1,1,0,1,0,0,0,0,1,1,0
Azacca,US,dual,15.0,14,16,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BRU-1,US,dual,15.0,13,15,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Calista,DE,aroma,3.5,2,5,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0
Cascade,US,dual,6.0,4.5,7,3,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
Centennial,US,dual,10.0,9,11.5,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
Challenger,UK,dual,7.5,6.5,8.5,1,0,0,0,0,1,2,2,0,1,2,0,0,0,0,1
Citra,US,aroma,12.0,11,13,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus/Tomahawk/Zeus,US,bittering,15.5,14,18,1,0,0,0,0,0,1,1,3,1,0,0,3,0,0,1
East Kent Goldings,UK,aroma,5.5,4.5,6.5,0,0,0,0,0,3,2,1,0,2,1,0,0,0,0,0
El Dorado,US,dual,15.0,14,16,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0
Ella,AU,dual,15.0,13,17,0,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0
Fuggle,UK,aroma,4.5,3.5,5.5,0,0,0,0,0,1,1,1,0,3,2,2,0,0,0,0
Galaxy,AU,dual,14.0,13,15,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Hallertau Mittelfrueh,DE,aroma,4.0,3,5.5,0,0,0,0,0,3,2,2,0,1,0,1,0,0,0,0
Hallertau Tradition,DE,aroma,5.5,5,7,0,0,0,0,0,2,3,2,0,1,0,1,0,0,0,1
Idaho 7,US,dual,12.0,11,13,1,3,1,0,0,0,1,0,2,0,0,0,1,0,0,0
Kohatu,NZ,dual,6.5,6,7,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Krush (HBC 586),US,aroma,12.0,11,13,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Lemondrop,US,aroma,5.5,5,7,3,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0
Liberty,US,aroma,4.0,3,5,1,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0
Loral,US,dual,11.0,10,12,2,0,0,0,0,3,1,2,0,0,0,0,1,0,0,0
Lotus,US,aroma,15.0,14,17,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Magnum,DE,bittering,13.0,12,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
Mosaic,US,dual,12.0,11,13.5,1,3,0,3,0,1,0,0,2,1,0,0,1,0,0,0
Motueka,NZ,dual,7.0,6.5,8,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nectaron,NZ,aroma,10.0,9,11,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Sauvin,NZ,dual,12.5,11,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Perle,DE,dual,8.0,7,9.5,0,0,0,0,0,2,2,2,0,0,0,1,0,0,0,1
Progress,UK,dual,6.5,5,7.5,0,0,0,0,0,1,2,1,0,2,1,2,0,0,0,1
Rakau,NZ,dual,10.5,9,11,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0
Riwaka,NZ,aroma,5.5,4.5,6.5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saaz,CZ,aroma,3.5,2.5,4.5,0,0,0,0,0,1,2,3,0,2,0,0,0,0,0,0
Sabro,US,dual,15.0,12,16,2,2,1,0,0,0,0,0,0,0,1,0,0,3,0,0
Saphir,DE,aroma,3.0,2,4.5,2,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0
Simcoe,US,dual,13.0,12,14,1,2,0,1,0,0,0,0,3,1,0,0,1,0,0,0
Sorachi Ace,US,dual,12.5,11,14,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
Strata,US,dual,12.0,11,13,1,3,0,2,0,0,0,0,0,0,0,0,3,0,0,0
Strisselspalt,FR,aroma,2.5,1.5,3.5,1,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0
Styrian Goldings,SI,aroma,4.5,3.5,5.5,0,0,0,0,0,2,1,2,0,2,1,0,0,0,0,0
Tettnang / Tettnanger,DE,aroma,4.5,3,5.5,0,0,0,0,0,3,2,2,0,1,0,0,0,0,0,0
Topaz,AU,dual,16.0,14,18,0,2,0,0,1,0,1,0,2,0,0,2,0,0,0,1
Triumph,US,dual,10.0,9,11,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Chinook,US,dual,13.0,12,14,2,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0
Cluster,US,dual,7.0,5.5,8.5,0,0,0,2,0,1,1,1,0,1,1,0,0,0,0,1
Mt Hood,US,aroma,5.5,4,7,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0
Northern Brewer,DE,dual,8.5,7,10,0,0,0,0,0,0,2,1,1,1,3,0,0,0,0,1
Nugget,US,bittering,13.0,12,14,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,2
Warrior,US,bittering,16.0,15,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Willamette,US,aroma,5.0,4,6,0,0,0,1,0,2,1,1,0,3,1,1,0,0,0,0
