name,sheet_category,kind,grain,origin,color_L,diastatic,bready,biscuit_toast,caramel_toffee,dark_fruit,roast_coffee_choc,burnt_acrid,nutty,smoky,grainy_neutral,body_head,sweet,melanoidin_rich
Amber Malt Extract,Base Malt,extract,barley,none,12,0,2,1,2,0,0,0,1,0,0,0,2,1
American (or North American) Pilsner,Base Malt,base_pils,barley,US,1.8,1,1,0,0,0,0,0,0,0,3,0,1,0
American (or North American) Vienna,Base Malt,base_kilned,barley,US,3.5,1,2,2,0,0,0,0,1,0,1,0,1,2
Belgian Pale,Base Malt,base_pale,barley,BE,3.2,1,3,1,0,0,0,0,1,0,1,0,1,1
Belgian Pilsner,Base Malt,base_pils,barley,BE,1.7,1,1,0,0,0,0,0,0,0,3,0,1,0
Dark Malt Extract,Base Malt,extract,barley,none,30,0,1,0,2,1,2,0,0,0,0,0,2,1
English Pale Ale,Base Malt,base_pale,barley,UK,3.0,1,3,2,0,0,0,0,1,0,1,0,1,1
Extra Light/Pils Malt Extract,Base Malt,extract,barley,none,2.5,0,1,0,0,0,0,0,0,0,3,0,1,0
Floor Malted Pilsner,Base Malt,base_pils,barley,CZ,1.8,1,2,0,0,0,0,0,0,0,3,0,1,1
German Pale Ale,Base Malt,base_pale,barley,DE,2.5,1,2,1,0,0,0,0,0,0,2,0,1,1
German Pilsner,Base Malt,base_pils,barley,DE,1.8,1,1,0,0,0,0,0,0,0,3,0,1,0
German Vienna,Base Malt,base_kilned,barley,DE,3.5,1,2,2,0,0,0,0,1,0,1,0,1,2
Golden Malt Extract,Base Malt,extract,barley,none,5,0,2,1,0,0,0,0,0,0,1,0,2,0
Golden Promise,Base Malt,base_pale,barley,UK,2.5,1,3,1,0,0,0,0,1,0,1,0,2,1
Light Malt Extract,Base Malt,extract,barley,none,4,0,2,0,0,0,0,0,0,0,2,0,2,0
Maris Otter,Base Malt,base_pale,barley,UK,3.0,1,3,2,0,0,0,0,2,0,1,0,1,1
Munich Malt Extract,Base Malt,extract,barley,none,9,0,3,2,0,0,0,0,1,0,0,0,2,3
"Munich, Dark",Base Malt,base_kilned,barley,DE,9,1,3,2,0,0,0,0,1,0,0,0,1,3
"Munich, Light",Base Malt,base_kilned,barley,DE,6,1,3,2,0,0,0,0,1,0,0,0,1,3
Pale Malt (2 Row),Base Malt,base_pale,barley,US,1.9,1,2,0,0,0,0,0,0,0,2,0,1,0
Pale Malt (6 Row),Base Malt,base_pale,barley,US,1.9,1,1,0,0,0,0,0,0,0,3,0,0,0
Pale Malt Extract,Base Malt,extract,barley,none,4,0,2,0,0,0,0,0,0,0,2,0,2,0
Red X,Base Malt,base_kilned,barley,DE,12,1,2,2,2,0,0,0,1,0,0,0,1,2
Wheat Malt Extract,Base Malt,extract,wheat,none,4,0,2,0,0,0,0,0,0,0,1,3,1,0
White Wheat,Base Malt,base_wheat,wheat,US,2.5,1,2,0,0,0,0,0,0,0,1,3,1,0
Aromatic,Specialty Malt,kilned_specialty,barley,BE,20,1,3,2,0,0,0,0,1,0,0,0,2,3
"Barley, Flaked",Specialty Malt,flaked_adjunct,barley,none,1.5,0,0,0,0,0,0,0,0,0,2,3,0,0
"Barley, Raw",Specialty Malt,raw_grain,barley,none,1.5,0,0,0,0,0,0,0,0,0,3,2,0,0
"Barley, Roasted",Specialty Malt,roast,barley,none,300,0,0,0,0,0,3,2,0,0,0,0,0,0
"Barley, Torrefied",Specialty Malt,flaked_adjunct,barley,none,1.5,0,0,1,0,0,0,0,0,0,2,3,0,0
Biscuit Malt,Specialty Malt,kilned_specialty,barley,BE,25,0,2,3,0,0,0,0,1,0,0,0,1,1
Black Malt,Specialty Malt,roast,barley,none,500,0,0,0,0,0,3,3,0,0,0,0,0,0
Blackprinze Malt,Specialty Malt,roast,barley,none,450,0,0,0,0,0,3,1,0,0,0,0,0,0
Brown Malt,Specialty Malt,kilned_specialty,barley,UK,65,0,1,3,0,0,2,0,1,0,0,0,0,1
