,Amarillo,Ariana,Azacca,BRU-1,Calista,Cascade,Centennial,Challenger,Citra,Columbus/Tomahawk/Zeus,East Kent Goldings,El Dorado,Ella,Fuggle,Galaxy,Hallertau Mittelfrueh,Hallertau Tradition,Idaho 7,Kohatu,Krush (HBC 586),Lemondrop,Liberty,Loral,Lotus,Magnum,Mosaic,Motueka,Nectaron,Nelson Sauvin,Perle,Progress,Rakau,Riwaka,Saaz,Sabro,Saphir,Simcoe,Sorachi Ace,Strata,Strisselspalt,Styrian Goldings,Tettnang / Tettnanger,Topaz,Triumph,Chinook,Cluster,Mt Hood,Northern Brewer,Nugget,Warrior,Willamette
Amarillo,1.000,0.451,0.690,0.517,0.170,0.749,0.773,0.000,0.709,0.000,0.000,0.126,0.318,0.000,0.659,0.000,0.000,0.548,0.677,0.605,0.406,0.211,0.497,0.540,0.000,0.426,0.683,0.448,0.001,0.000,0.000,0.296,0.607,0.000,0.429,0.304,0.403,0.331,0.221,0.148,0.000,0.000,0.135,0.678,0.353,0.000,0.000,0.000,0.000,0.004,0.000
Ariana,0.451,1.000,0.388,0.130,0.012,0.326,0.433,0.000,0.411,0.098,0.000,0.000,0.165,0.000,0.240,0.000,0.000,0.296,0.335,0.341,0.406,0.087,0.243,0.552,0.000,0.557,0.378,0.162,0.135,0.000,0.000,0.000,0.324,0.000,0.362,0.237,0.386,0.461,0.263,0.133,0.000,0.000,0.140,0.277,0.328,0.207,0.000,0.000,0.003,0.045,0.000
Azacca,0.690,0.388,1.000,0.748,0.000,0.246,0.394,0.000,0.813,0.131,0.000,0.345,0.407,0.000,0.798,0.000,0.000,0.803,0.782,0.795,0.059,0.000,0.085,0.692,0.014,0.580,0.706,0.611,0.366,0.000,0.000,0.378,0.678,0.000,0.575,0.000,0.670,0.300,0.512,0.000,0.000,0.000,0.516,0.677,0.405,0.000,0.000,0.000,0.000,0.189,0.000
BRU-1,0.517,0.130,0.748,1.000,0.437,0.000,0.000,0.000,0.713,0.000,0.000,0.595,0.532,0.000,0.905,0.000,0.000,0.700,0.390,0.764,0.000,0.000,0.069,0.460,0.000,0.372,0.425,0.824,0.344,0.000,0.000,0.651,0.421,0.000,0.549,0.000,0.360,0.066,0.423,0.000,0.000,0.000,0.353,0.814,0.094,0.000,0.000,0.000,0.000,0.020,0.000
Calista,0.170,0.012,0.000,0.437,1.000,0.000,0.000,0.000,0.232,0.000,0.000,0.233,0.000,0.000,0.410,0.000,0.000,0.185,0.000,0.313,0.000,0.000,0.000,0.000,0.000,0.129,0.000,0.649,0.000,0.000,0.000,0.547,0.019,0.000,0.000,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.393,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Cascade,0.749,0.326,0.246,0.000,0.000,1.000,0.895,0.183,0.247,0.038,0.023,0.000,0.150,0.000,0.087,0.095,0.000,0.034,0.390,0.066,0.517,0.505,0.737,0.271,0.000,0.072,0.425,0.000,0.000,0.136,0.000,0.000,0.217,0.000,0.085,0.636,0.117,0.367,0.000,0.354,0.009,0.119,0.000,0.199,0.470,0.000,0.079,0.000,0.000,0.000,0.000
Centennial,0.773,0.433,0.394,0.000,0.000,0.895,1.000,0.010,0.276,0.235,0.000,0.000,0.079,0.000,0.155,0.000,0.000,0.240,0.547,0.124,0.453,0.246,0.561,0.330,0.000,0.232,0.391,0.000,0.000,0.000,0.000,0.000,0.178,0.000,0.157,0.338,0.396,0.394,0.000,0.176,0.000,0.000,0.055,0.228,0.646,0.000,0.000,0.000,0.000,0.149,0.000
Challenger,0.000,0.000,0.000,0.000,0.000,0.183,0.010,1.000,0.000,0.039,0.540,0.000,0.345,0.420,0.000,0.408,0.565,0.000,0.000,0.000,0.177,0.341,0.458,0.000,0.137,0.000,0.033,0.000,0.000,0.599,0.643,0.000,0.000,0.513,0.000,0.388,0.000,0.186,0.000,0.314,0.571,0.441,0.000,0.000,0.125,0.564,0.525,0.758,0.502,0.000,0.362
Citra,0.709,0.411,0.813,0.713,0.232,0.247,0.276,0.000,1.000,0.000,0.000,0.262,0.174,0.000,0.836,0.000,0.000,0.582,0.580,0.933,0.315,0.000,0.046,0.790,0.000,0.334,0.758,0.790,0.146,0.000,0.000,0.257,0.882,0.000,0.546,0.013,0.312,0.307,0.384,0.000,0.000,0.000,0.147,0.780,0.123,0.000,0.000,0.000,0.000,0.027,0.000
Columbus/Tomahawk/Zeus,0.000,0.098,0.131,0.000,0.000,0.038,0.235,0.039,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.172,0.000,0.000,0.000,0.157,0.000,0.203,0.236,0.000,0.000,0.000,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.591,0.038,0.226,0.000,0.000,0.000,0.285,0.000,0.741,0.000,0.000,0.113,0.438,0.395,0.000
