Base Malt,Hop,Yeast,Adjunct,Specialty Malt
Amber Malt Extract,Amarillo,"Abbey Ale (WLP540, EY1762, BE-256)",Apricots,Aromatic
American (or North American) Pilsner,Ariana,"Alt (WLP023, WY1007, G02)",Blackberries,"Barley, Flaked"
American (or North American) Vienna,Azacca,"American Ale (WLP001 [liquid or dry], WY1056, US-05, A07)",Blueberries,"Barley, Raw"
Belgian Pale,BRU-1,"Belgian Ale (WLP570, WY1388)",Brewer's Crystals,"Barley, Roasted"
Belgian Pilsner,Calista,"Belgian Ardennes (WY3522, B45)",Brown Sugar,"Barley, Torrefied"
Dark Malt Extract,Cascade,"Conan (WLP095, OYL-052, A04, LalBrew New England [Dry])","Candi Sugar, Amber",Biscuit Malt
English Pale Ale,Centennial,"Czech Lager (WLP802, WY2001, L28)","Candi Sugar, Clear",Black Malt
Extra Light/Pils Malt Extract,Challenger,"Dry English Ale (WLP007, WY1098, A10)","Candi Sugar, Dark",Blackprinze Malt
Floor Malted Pilsner,Citra,"East Coast Ale (WLP008, A15)",Cane (or Beet) Sugar,Brown Malt
German Pale Ale,East Kent Goldings,"English Ale (WLP002, WY1968, S-04, A09)",Cherries,Buckwheat
German Pilsner,El Dorado,"Farmhouse (WY3726, OYL-217, Dry)",Chili Peppers,Carafa I
German Vienna,Ella,"German Ale (WY1007, G02)",Cocoa Nibs/Beans,Carafa II
Golden Malt Extract,Fuggle,"German Lager (WLP830, WY2124, L13, 34/70)",Coconut,Carafa III
Golden Promise,Galaxy,"Hefewiezen (WLP300, WY3068, G01)",Coffee (Liquid or Beans),Carafoam
Light Malt Extract,Hallertau Mittelfrueh,"Hornindal Kveik (WLP521, OYL-091)",Corn Sugar (Dextrose),Carahell
Marris Otter,Hallertau Tradition,"Kolsch (WLP029, WY2565, G03, K-97)",Coriander,Caramel/Crystal Malt - 10L
"Munich, Dark",Idaho 7,"London III (WLP013, A38, WY1318)",Dememera Sugar,Caramel/Crystal Malt - 20L
Munich Malt Extract,Krush (HBC 586),"Lutra Kveik (OYL-071, OYL-071DRY)",Dragon Fruit,Caramel/Crystal Malt - 30L
"Munich, Light",Kohatu,"Mexican Lager (WLP940, OYL-113, L09)",Grains of Paradise,Caramel/Crystal Malt - 40L
Pale Malt Extract,Lemondrop,"Munich Lager (WLP838, WY2308, Dry)",Grapefruit Peel,Caramel/Crystal Malt - 60L
Pale Malt (2 Row),Liberty,NovaLager (Lalbrew Y055) (Dry),Guava,Caramel/Crystal Malt - 80L
Pale Malt (6 Row),Loral,Pomona (Lalbrew Y067) (Dry),Honey,Caramel/Crystal Malt -120L
Red X,Lotus,Philly Sour or Sourvisiae (Dry),Juniper,Caramunich I
Wheat Malt Extract,Magnum,"Saison (WLP565, WY3724)",Lemon Peel/Juice,Caramunich II
White Wheat,Mosaic,"San Fran Lager (WLP810, L05, WY2112)",Licorice,Carapils/Dextrine/Carafoam
,Motueka,"Scottish Ale (WLP028, WY1728, A31)",Lime Peel/Juice,Carared
,Nectaron,"Trappist Ale (WLP500, WY1214, B48)",Lyle's Golden Syrup (Invert Sugar),Caravienne
,Nelson Sauvin,Verdant IPA (Dry),Mango,Chit Malt
,Perle,"Voss Kveik (A43, OYL-061, Dry)",Maple Syrup,Chocolate Malt
,Progress,,Milk Sugar (Lactose),Cookie Malt (Viking Malt)
,Rakau,,Molasses,Coffee Malt
,Riwaka,,Mushrooms,"Corn, Flaked"
,Saaz,,Nectarines,"Corn, Grits"
,Sabro,,Oak,"Extract, Extra Dark"
,Saphir,,"Orange Peel, Bitter","Extract, Rye"
,Simcoe,,"Orange Peel, Sweet","Extract, Sorghum"
,Sorachi Ace,,Passion Fruit,Honey Malt
,Strata,,Peaches,Melanoiden Malt
,Strisselspalt,,Pineapple,Millet
,Styrian Goldings,,Raspberries,"Oats, Flaked"
,Tettnang / Tettnanger,,"Rice Syrup (added ""syrup"" to differentiate from flaked rice in specialty malts)","Oats, Golden Naked"
,Topaz,,Truffles,"Oats, Malted"
,Triumph,,Turbinado Sugar,Pale Chocolate Malt
,,,Vanilla (extract or bean),Peat Smoked Malt
,,,Watermelon,Quinoa
,,,,"Rice, Flaked"
,,,,Rye Malt
,,,,"Rye, Flaked"
,,,,Smoked Malt
,,,,Special B
,,,,Special Roast
,,,,Spelt Malt
,,,,Toasted Malt
,,,,Victory
,,,,"Wheat, Flaked"
,,,,"Wheat, Red"
,,,,"Wheat, Roasted"
,,,,"Wheat, Torrified"
