,Amber Malt Extract,American (or North American) Pilsner,American (or North American) Vienna,Belgian Pale,Belgian Pilsner,Dark Malt Extract,English Pale Ale,Extra Light/Pils Malt Extract,Floor Malted Pilsner,German Pale Ale,German Pilsner,German Vienna,Golden Malt Extract,Golden Promise,Light Malt Extract,Maris Otter,Munich Malt Extract,"Munich, Dark","Munich, Light",Pale Malt (2 Row),Pale Malt (6 Row),Pale Malt Extract,Red X,Wheat Malt Extract,White Wheat,Aromatic,"Barley, Flaked","Barley, Raw","Barley, Roasted","Barley, Torrefied",Biscuit Malt,Black Malt,Blackprinze Malt,Brown Malt,Buckwheat,Carafa I,Carafa II,Carafa III,Carafoam,Caramel/Crystal Malt - 10L,Caramel/Crystal Malt - 20L,Caramel/Crystal Malt - 30L,Caramel/Crystal Malt - 40L,Caramel/Crystal Malt - 60L,Caramel/Crystal Malt - 80L,Caramel/Crystal Malt -120L,Caramunich I,Caramunich II,Carapils/Dextrine/Carafoam,Carared,Caravienne,Carahell,Chit Malt,Chocolate Malt,Coffee Malt,Cookie Malt (Viking Malt),"Corn, Flaked","Corn, Grits","Extract, Extra Dark","Extract, Rye","Extract, Sorghum",Honey Malt,Melanoiden Malt,Millet,"Oats, Flaked","Oats, Golden Naked","Oats, Malted",Pale Chocolate Malt,Peat Smoked Malt,Quinoa,"Rice, Flaked",Rye Malt,"Rye, Flaked",Smoked Malt,Special B,Special Roast,Spelt Malt,Toasted Malt,Victory,"Wheat, Flaked","Wheat, Red","Wheat, Roasted","Wheat, Torrified"
Amber Malt Extract,1.000,0.000,0.333,0.343,0.000,0.747,0.350,0.253,0.045,0.186,0.000,0.333,0.733,0.395,0.571,0.362,0.754,0.431,0.407,0.062,0.000,0.571,0.583,0.243,0.000,0.530,0.000,0.000,0.090,0.000,0.580,0.072,0.124,0.370,0.000,0.118,0.123,0.120,0.000,0.483,0.567,0.573,0.597,0.584,0.512,0.402,0.624,0.610,0.000,0.597,0.636,0.576,0.000,0.150,0.250,0.737,0.000,0.000,0.593,0.440,0.262,0.760,0.624,0.000,0.000,0.438,0.000,0.190,0.000,0.000,0.000,0.000,0.000,0.084,0.469,0.427,0.000,0.591,0.583,0.000,0.000,0.047,0.000
American (or North American) Pilsner,0.000,1.000,0.456,0.524,0.990,0.000,0.469,0.482,0.935,0.716,0.990,0.446,0.190,0.525,0.372,0.421,0.000,0.223,0.220,0.782,0.819,0.372,0.235,0.000,0.367,0.243,0.032,0.262,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.000,0.000,0.000,0.303,0.303,0.000,0.048,0.164,0.000,0.000,0.284,0.000,0.000,0.000,0.000,0.395,0.024,0.248,0.410,0.000,0.268,0.000,0.000,0.387,0.000,0.000,0.000,0.367,0.000,0.000
American (or North American) Vienna,0.333,0.456,1.000,0.786,0.445,0.047,0.822,0.060,0.589,0.746,0.446,0.991,0.318,0.767,0.194,0.809,0.553,0.934,0.937,0.564,0.419,0.194,0.855,0.000,0.310,0.814,0.000,0.000,0.000,0.000,0.470,0.000,0.000,0.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.088,0.000,0.000,0.000,0.088,0.459,0.000,0.000,0.000,0.000,0.000,0.263,0.510,0.000,0.000,0.000,0.000,0.000,0.279,0.000,0.000,0.441,0.000,0.438,0.000,0.360,0.390,0.468,0.475,0.000,0.310,0.000,0.000
Belgian Pale,0.343,0.524,0.786,1.000,0.532,0.049,0.967,0.142,0.666,0.903,0.524,0.786,0.402,0.965,0.344,0.948,0.469,0.761,0.762,0.840,0.625,0.344,0.667,0.050,0.426,0.756,0.000,0.000,0.000,0.000,0.379,0.000,0.000,0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.365,0.000,0.000,0.000,0.065,0.000,0.165,0.428,0.000,0.000,0.000,0.000,0.000,0.352,0.000,0.000,0.374,0.000,0.509,0.000,0.192,0.527,0.374,0.374,0.000,0.426,0.000,0.000
Belgian Pilsner,0.000,0.990,0.445,0.532,1.000,0.000,0.468,0.480,0.935,0.715,0.990,0.445,0.187,0.524,0.370,0.420,0.000,0.220,0.218,0.771,0.808,0.370,0.232,0.000,0.357,0.247,0.030,0.261,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.302,0.302,0.000,0.043,0.161,0.000,0.000,0.283,0.000,0.000,0.000,0.000,0.394,0.021,0.247,0.408,0.000,0.266,0.000,0.000,0.386,0.000,0.000,0.000,0.357,0.000,0.000
Dark Malt Extract,0.747,0.000,0.047,0.049,0.000,1.000,0.011,0.180,0.000,0.000,0.000,0.047,0.505,0.099,0.422,0.000,0.432,0.151,0.113,0.000,0.000,0.422,0.337,0.124,0.000,0.280,0.000,0.000,0.489,0.000,0.291,0.444,0.528,0.400,0.000,0.533,0.533,0.521,0.000,0.516,0.606,0.623,0.641,0.685,0.676,0.711,0.661,0.700,0.000,0.632,0.609,0.591,0.000,0.508,0.497,0.435,0.000,0.000,0.948,0.398,0.264,0.674,0.405,0.000,0.000,0.285,0.000,0.504,0.000,0.000,0.000,0.000,0.000,0.000,0.720,0.234,0.000,0.262,0.257,0.000,0.000,0.453,0.000
English Pale Ale,0.350,0.469,0.822,0.967,0.468,0.011,1.000,0.103,0.604,0.887,0.469,0.822,0.419,0.949,0.295,0.977,0.510,0.781,0.784,0.770,0.565,0.295,0.697,0.015,0.375,0.763,0.000,0.000,0.000,0.000,0.475,0.000,0.000,0.248,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.464,0.000,0.000,0.000,0.026,0.000,0.172,0.464,0.000,0.000,0.000,0.000,0.000,0.313,0.000,0.000,0.324,0.000,0.454,0.000,0.303,0.471,0.472,0.470,0.000,0.375,0.000,0.000
Extra Light/Pils Malt Extract,0.253,0.482,0.060,0.142,0.480,0.180,0.103,1.000,0.478,0.333,0.482,0.060,0.647,0.167,0.857,0.072,0.157,0.000,0.000,0.364,0.425,0.857,0.000,0.278,0.000,0.000,0.214,0.498,0.000,0.191,0.000,0.000,0.000,0.000,0.156,0.000,0.000,0.000,0.060,0.043,0.018,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.076,0.000,0.000,0.000,0.214,0.000,0.000,0.027,0.547,0.547,0.088,0.534,0.592,0.041,0.034,0.531,0.000,0.000,0.013,0.000,0.000,0.213,0.481,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Floor Malted Pilsner,0.045,0.935,0.589,0.666,0.935,0.000,0.604,0.478,1.000,0.799,0.935,0.589,0.280,0.657,0.442,0.551,0.125,0.442,0.443,0.797,0.768,0.442,0.372,0.012,0.399,0.440,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.237,0.237,0.000,0.090,0.109,0.000,0.131,0.220,0.000,0.000,0.000,0.000,0.383,0.000,0.186,0.402,0.000,0.370,0.000,0.000,0.437,0.000,0.000,0.000,0.399,0.000,0.000
German Pale Ale,0.186,0.716,0.746,0.903,0.715,0.000,0.887,0.333,0.799,1.000,0.726,0.756,0.367,0.886,0.387,0.821,0.306,0.642,0.643,0.923,0.826,0.387,0.579,0.006,0.423,0.631,0.000,0.040,0.000,0.000,0.226,0.000,0.000,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.231,0.053,0.053,0.000,0.079,0.029,0.130,0.324,0.054,0.000,0.000,0.000,0.000,0.402,0.000,0.000,0.422,0.000,0.461,0.000,0.089,0.459,0.185,0.185,0.000,0.423,0.000,0.000
