,"Abbey Ale (WLP540, EY1762, BE-256)","Alt (WLP023, WY1007, G02)","American Ale (WLP001 [liquid or dry], WY1056, US-05, A07)","Belgian Ale (WLP570, WY1388)","Belgian Ardennes (WY3522, B45)","Conan (WLP095, OYL-052, A04, LalBrew New England [Dry])","Czech Lager (WLP802, WY2001, L28)","Dry English Ale (WLP007, WY1098, A10)","East Coast Ale (WLP008, A15)","English Ale (WLP002, WY1968, S-04, A09)","Farmhouse (WY3726, OYL-217, Dry)","German Ale (WY1007, G02)","German Lager (WLP830, WY2124, L13, 34/70)","Hefewiezen (WLP300, WY3068, G01)","Hornindal Kveik (WLP521, OYL-091)","Kolsch (WLP029, WY2565, G03, K-97)","London III (WLP013, A38, WY1318)","Lutra Kveik (OYL-071, OYL-071DRY)","Mexican Lager (WLP940, OYL-113, L09)","Munich Lager (WLP838, WY2308, Dry)",NovaLager (Lalbrew Y055) (Dry),Philly Sour or Sourvisiae (Dry),Pomona (Lalbrew Y067) (Dry),Saflager SH-45 (Thiol Enhancing Dry Lager Yeast),"Saison (WLP565, WY3724)","San Fran Lager (WLP810, L05, WY2112)","Scottish Ale (WLP028, WY1728, A31)","Trappist Ale (WLP500, WY1214, B48)",Verdant IPA (Dry),"Voss Kveik (A43, OYL-061, Dry)","Belgian Witbier (WLP400, WY3944, Imperial B44, LalBrew Wit)","Irish Ale (WLP004, WY1084, Imperial A44)"
"Abbey Ale (WLP540, EY1762, BE-256)",1.000,0.000,0.000,0.715,0.883,0.026,0.000,0.066,0.000,0.254,0.428,0.000,0.000,0.441,0.026,0.000,0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.387,0.000,0.144,0.962,0.038,0.000,0.610,0.157
"Alt (WLP023, WY1007, G02)",0.000,1.000,0.677,0.000,0.000,0.000,0.289,0.456,0.533,0.000,0.000,1.000,0.418,0.000,0.000,0.775,0.000,0.394,0.402,0.086,0.461,0.000,0.000,0.027,0.000,0.032,0.305,0.000,0.000,0.007,0.000,0.423
"American Ale (WLP001 [liquid or dry], WY1056, US-05, A07)",0.000,0.677,1.000,0.045,0.026,0.276,0.304,0.648,0.867,0.000,0.085,0.677,0.445,0.000,0.044,0.601,0.000,0.564,0.428,0.211,0.520,0.125,0.220,0.080,0.000,0.267,0.399,0.000,0.069,0.342,0.000,0.564
"Belgian Ale (WLP570, WY1388)",0.715,0.000,0.045,1.000,0.893,0.000,0.000,0.223,0.020,0.000,0.723,0.000,0.000,0.380,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.095,0.000,0.000,0.746,0.000,0.000,0.682,0.000,0.000,0.702,0.000
"Belgian Ardennes (WY3522, B45)",0.883,0.000,0.026,0.893,1.000,0.003,0.000,0.230,0.000,0.000,0.682,0.000,0.000,0.444,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.082,0.000,0.000,0.645,0.000,0.000,0.858,0.009,0.100,0.704,0.035
"Conan (WLP095, OYL-052, A04, LalBrew New England [Dry])",0.026,0.000,0.276,0.000,0.003,1.000,0.000,0.076,0.306,0.000,0.000,0.000,0.000,0.238,0.501,0.000,0.599,0.000,0.000,0.000,0.000,0.000,0.952,0.237,0.000,0.000,0.000,0.062,0.791,0.077,0.204,0.060
"Czech Lager (WLP802, WY2001, L28)",0.000,0.289,0.304,0.000,0.000,0.000,1.000,0.226,0.000,0.000,0.000,0.289,0.911,0.000,0.000,0.500,0.000,0.092,0.916,0.810,0.455,0.000,0.000,0.170,0.000,0.371,0.212,0.000,0.000,0.000,0.000,0.186
"Dry English Ale (WLP007, WY1098, A10)",0.066,0.456,0.648,0.223,0.230,0.076,0.226,1.000,0.305,0.000,0.340,0.456,0.369,0.000,0.019,0.490,0.135,0.446,0.342,0.136,0.526,0.211,0.029,0.198,0.043,0.263,0.512,0.003,0.288,0.296,0.000,0.684
"East Coast Ale (WLP008, A15)",0.000,0.533,0.867,0.020,0.000,0.306,0.000,0.305,1.000,0.000,0.000,0.533,0.067,0.000,0.073,0.330,0.083,0.319,0.052,0.000,0.118,0.011,0.213,0.000,0.000,0.017,0.346,0.000,0.024,0.248,0.000,0.492
"English Ale (WLP002, WY1968, S-04, A09)",0.254,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.161,0.560,0.286,0.045,0.000,0.000,0.479
"Farmhouse (WY3726, OYL-217, Dry)",0.428,0.000,0.085,0.723,0.682,0.000,0.000,0.340,0.000,0.000,1.000,0.000,0.000,0.293,0.185,0.000,0.000,0.000,0.000,0.000,0.000,0.220,0.033,0.000,0.918,0.000,0.000,0.412,0.004,0.176,0.433,0.000
"German Ale (WY1007, G02)",0.000,1.000,0.677,0.000,0.000,0.000,0.289,0.456,0.533,0.000,0.000,1.000,0.418,0.000,0.000,0.775,0.000,0.394,0.402,0.086,0.461,0.000,0.000,0.027,0.000,0.032,0.305,0.000,0.000,0.007,0.000,0.423
"German Lager (WLP830, WY2124, L13, 34/70)",0.000,0.418,0.445,0.000,0.000,0.000,0.911,0.369,0.067,0.000,0.000,0.418,1.000,0.000,0.000,0.548,0.000,0.319,0.994,0.702,0.728,0.000,0.000,0.410,0.000,0.352,0.093,0.000,0.000,0.000,0.000,0.157
"Hefewiezen (WLP300, WY3068, G01)",0.441,0.000,0.000,0.380,0.444,0.238,0.000,0.000,0.000,0.000,0.293,0.000,0.000,1.000,0.166,0.000,0.152,0.000,0.000,0.000,0.000,0.000,0.183,0.000,0.420,0.000,0.000,0.510,0.236,0.000,0.701,0.000
"Hornindal Kveik (WLP521, OYL-091)",0.026,0.000,0.044,0.034,0.120,0.501,0.000,0.019,0.073,0.000,0.185,0.000,0.000,0.166,1.000,0.000,0.336,0.285,0.000,0.000,0.000,0.118,0.541,0.000,0.010,0.000,0.000,0.112,0.504,0.757,0.092,0.000
"Kolsch (WLP029, WY2565, G03, K-97)",0.000,0.775,0.601,0.000,0.000,0.000,0.500,0.490,0.330,0.000,0.000,0.775,0.548,0.000,0.000,1.000,0.000,0.442,0.539,0.311,0.571,0.000,0.000,0.051,0.000,0.355,0.242,0.000,0.000,0.169,0.000,0.365
"London III (WLP013, A38, WY1318)",0.175,0.000,0.000,0.000,0.000,0.599,0.000,0.135,0.083,0.550,0.000,0.000,0.000,0.152,0.336,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.424,0.000,0.000,0.005,0.515,0.218,0.825,0.043,0.008,0.560
